h2_ID,h2_RA,h2_DEC,h2_rGalac_kpc,h2_LHa_erg_s,h2_logLHa,h2_size_pc,h2_class,sc_ID,sc_RA,sc_DEC,separation_arcsec,sc_age_yr,sc_mass_Msun,sc_EBV,sc_class
1040,24.212,15.7597,7.02838,3.06793e+36,36.4868,76,4,3594,24.2119,15.7597,0.308003,3e+06,397.2,0.04,4
1041,24.1926,15.7593,4.87144,1.55461e+37,37.1916,68.3288,4,3597,24.1923,15.7595,1.2957,5e+09,41960,0,4
1048,24.2185,15.7604,7.76722,6.41568e+37,37.8072,41,2,3581,24.2185,15.7603,0.30176,1e+06,7062,0.44,1
1050,24.1721,15.7593,4.15561,2.51073e+37,37.3998,129,3,2892,24.172,15.7597,1.29152,1.5e+07,2967,0.06,3
1050,24.1721,15.7593,4.15561,2.51073e+37,37.3998,129,3,2907,24.1719,15.759,1.40921,7e+07,11580,0.14,2
1053,24.1711,15.7594,4.23064,3.79251e+37,37.5789,55.6239,3,2899,24.1709,15.7593,0.575409,1e+06,1761,0.15,3
1055,24.2159,15.7604,7.34282,5.5365e+37,37.7432,44.9624,2,3582,24.2159,15.7603,0.464711,8e+06,927.1,0.26,3
1065,24.1969,15.7604,5.18845,1.69112e+37,37.2282,51.8924,1,3576,24.1968,15.7606,0.789032,3e+07,4626,0.14,3
1075,24.1987,15.7609,5.42981,1.30632e+37,37.1161,69,3,3558,24.1988,15.7613,1.41696,5e+06,6723,0.28,1
1076,24.1949,15.7609,4.86606,1.68812e+37,37.2274,103.811,3,3565,24.1945,15.7611,1.41459,7e+06,586.5,0.17,2
1081,24.1779,15.7606,4.08066,6.89613e+37,37.8386,36.0724,2,2870,24.1779,15.7606,0.178162,4e+06,1525,0.29,2
1087,24.1979,15.7611,5.24847,1.22204e+37,37.0871,82.4938,3,3560,24.1975,15.7611,1.24878,4e+07,24270,0.26,4
1097,24.219,15.7621,7.82722,2.46655e+37,37.3921,49,2,3548,24.2191,15.762,0.480798,8e+06,1376,0.34,2
1103,24.2179,15.7622,7.52096,9.10527e+37,37.9593,47,2,3540,24.2179,15.7621,0.392265,9e+06,2252,0.39,4
1106,24.1962,15.7619,4.98057,5.07631e+37,37.7055,54.1112,3,3552,24.1964,15.7618,0.705821,9e+06,3781,0.43,4
1106,24.1962,15.7619,4.98057,5.07631e+37,37.7055,54.1112,3,3556,24.196,15.7617,0.922746,1e+06,1553,0.06,4
1114,24.2172,15.7626,7.3927,2.66842e+37,37.4263,48,2,3532,24.2171,15.7624,0.520335,1e+06,5083,0.57,2
1123,24.1965,15.7623,5.00168,1.3592e+38,38.1333,69.1522,2,3526,24.1965,15.7626,1.20783,3e+06,420,0,4
1128,24.1997,15.7625,5.31634,1.54248e+36,36.1882,85,4,3541,24.1999,15.7621,1.38434,7e+06,1430,0.21,2
1129,24.1595,15.7616,4.53152,6.29651e+37,37.7991,71,1,2837,24.1593,15.7615,0.711454,1e+06,1173,0,3
1129,24.1595,15.7616,4.53152,6.29651e+37,37.7991,71,1,2839,24.1594,15.7615,0.684161,9e+06,1003,0.03,4
1129,24.1595,15.7616,4.53152,6.29651e+37,37.7991,71,1,2841,24.1593,15.7614,1.05519,1e+06,1549,0.04,3
1134,24.1961,15.7627,4.86174,3.05311e+37,37.4847,80,1,3506,24.1964,15.7629,1.27873,1e+06,7020,0.18,3
1134,24.1961,15.7627,4.86174,3.05311e+37,37.4847,80,1,3521,24.1961,15.7629,0.975049,1.5e+07,1566,0,4
1134,24.1961,15.7627,4.86174,3.05311e+37,37.4847,80,1,3522,24.1959,15.7629,0.862692,5e+07,4148,0.06,3
1134,24.1961,15.7627,4.86174,3.05311e+37,37.4847,80,1,3523,24.1961,15.7627,0.280455,1e+06,3092,0.18,4
1134,24.1961,15.7627,4.86174,3.05311e+37,37.4847,80,1,3525,24.1961,15.7626,0.231664,1e+06,1172,0.02,3
1134,24.1961,15.7627,4.86174,3.05311e+37,37.4847,80,1,3526,24.1965,15.7626,1.54298,3e+06,420,0,4
1134,24.1961,15.7627,4.86174,3.05311e+37,37.4847,80,1,3531,24.1961,15.7625,0.524485,9e+06,1447,0.22,4
1136,24.217,15.7633,7.33811,1.32154e+38,38.1211,43,2,3501,24.2168,15.7633,0.851278,3e+06,1061,0.27,3
1136,24.217,15.7633,7.33811,1.32154e+38,38.1211,43,2,3512,24.2171,15.7631,0.478552,1e+06,6471,0.25,2
1138,24.1582,15.7619,4.4561,3.44313e+36,36.537,183.138,4,2831,24.1578,15.7617,1.72536,7e+06,572.7,0.16,4
1143,24.1754,15.7624,3.69541,1.90559e+37,37.28,151,3,2761,24.1759,15.7631,3.13057,4e+06,2277,0.39,2
1153,24.1905,15.7628,4.48573,4.66239e+36,36.6686,122,4,3518,24.1903,15.763,0.890926,3e+06,4499,0.62,3
1156,24.1969,15.7631,4.90615,6.95732e+37,37.8424,61.8678,3,3499,24.1966,15.7632,1.17497,1e+06,9174,0.24,3
1156,24.1969,15.7631,4.90615,6.95732e+37,37.8424,61.8678,3,3505,24.1967,15.7629,1.01607,1.5e+07,11770,0,4
1156,24.1969,15.7631,4.90615,6.95732e+37,37.8424,61.8678,3,3509,24.1969,15.7632,0.397539,9e+06,1756,0,4
1156,24.1969,15.7631,4.90615,6.95732e+37,37.8424,61.8678,3,3510,24.1967,15.7631,0.641769,9e+06,5375,0.46,4
1156,24.1969,15.7631,4.90615,6.95732e+37,37.8424,61.8678,3,3517,24.1966,15.7631,0.987946,8e+06,797.3,0,4
1160,24.2173,15.7637,7.32142,3.7957e+37,37.5793,54.1112,2,3492,24.2174,15.7637,0.352914,3e+06,1355,0.33,4
1161,24.1955,15.7631,4.70768,1.89946e+38,38.2786,81,2,3514,24.1956,15.7631,0.413486,3e+06,551.2,0.05,4
1161,24.1955,15.7631,4.70768,1.89946e+38,38.2786,81,2,3515,24.1957,15.763,0.685216,2e+06,3174,0.03,1
1161,24.1955,15.7631,4.70768,1.89946e+38,38.2786,81,2,3516,24.1956,15.763,0.496724,2e+06,1423,0.1,4
1162,24.1641,15.7625,4.01987,3.86321e+38,38.5869,51.1549,1,2806,24.1642,15.7622,0.885603,3e+06,2804,0.34,3
1162,24.1641,15.7625,4.01987,3.86321e+38,38.5869,51.1549,1,2807,24.1641,15.7623,0.475503,1e+06,23500,0.42,2
1162,24.1641,15.7625,4.01987,3.86321e+38,38.5869,51.1549,1,2808,24.164,15.7623,0.685671,1e+06,15410,0.26,2
1170,24.1664,15.7628,3.78561,9.21585e+36,36.9645,120,3,2775,24.1661,15.7629,1.25874,3e+08,58930,0.23,2
1170,24.1664,15.7628,3.78561,9.21585e+36,36.9645,120,3,2810,24.1659,15.7624,2.27832,1e+08,6928,0.07,1
1174,24.212,15.7639,6.60117,3.62054e+38,38.5588,44,1,3481,24.2122,15.7637,0.916331,1e+06,31040,1.19,4
1174,24.212,15.7639,6.60117,3.62054e+38,38.5588,44,1,3482,24.2119,15.7637,0.767061,1e+06,1377,0.18,4
1174,24.212,15.7639,6.60117,3.62054e+38,38.5588,44,1,3483,24.2121,15.7637,0.674846,1e+06,2854,0.3,4
1174,24.212,15.7639,6.60117,3.62054e+38,38.5588,44,1,3484,24.212,15.7637,0.583569,4e+06,963.8,0,4
1174,24.212,15.7639,6.60117,3.62054e+38,38.5588,44,1,3485,24.212,15.7638,0.259586,3e+06,3942,0.1,3
1174,24.212,15.7639,6.60117,3.62054e+38,38.5588,44,1,3486,24.212,15.7638,0.353916,3e+06,3723,0.09,3
1177,24.1647,15.7629,3.81688,2.8e+37,37.4472,61.0706,4,2778,24.165,15.7629,1.00477,9e+06,980.9,0.14,4
1178,24.213,15.764,6.70839,3.84464e+37,37.5849,54.86,2,3475,24.2132,15.764,0.741199,8e+07,8844,0,2
1183,24.1731,15.7632,3.63044,6.52906e+36,36.8149,116,3,2746,24.1732,15.7633,0.399897,8e+06,2237,0.28,4
1183,24.1731,15.7632,3.63044,6.52906e+36,36.8149,116,3,2747,24.173,15.7633,0.316818,2e+08,26400,0.04,1
1186,24.1613,15.7631,4.08635,1.2772e+37,37.1063,51,3,2763,24.1613,15.7631,0.0469162,1.5e+07,2732,0.09,4
1190,24.1966,15.7639,4.77824,4.95225e+38,38.6948,58,2,3473,24.1965,15.7641,0.723384,3e+06,676.1,0.05,3
1190,24.1966,15.7639,4.77824,4.95225e+38,38.6948,58,2,3474,24.1964,15.764,0.817608,3e+06,804.1,0.1,4
1190,24.1966,15.7639,4.77824,4.95225e+38,38.6948,58,2,3477,24.1965,15.7639,0.492023,6e+06,1584,0,4
1190,24.1966,15.7639,4.77824,4.95225e+38,38.6948,58,2,3478,24.1967,15.7638,0.480739,1e+06,12460,0.29,2
1190,24.1966,15.7639,4.77824,4.95225e+38,38.6948,58,2,3479,24.1966,15.7637,0.76384,8e+06,3556,0.14,3
1190,24.1966,15.7639,4.77824,4.95225e+38,38.6948,58,2,3491,24.1964,15.7637,1.0332,2e+06,644.2,0.12,4
1191,24.1768,15.7635,3.54459,2.16369e+37,37.3352,102,3,2716,24.1766,15.7638,1.55792,1e+06,1801,0.29,4
1191,24.1768,15.7635,3.54459,2.16369e+37,37.3352,102,3,2719,24.1763,15.7637,1.8141,1.5e+07,1972,0.05,4
1192,24.2138,15.7644,6.79401,9.4336e+36,36.9747,134,2,3475,24.2132,15.764,2.52838,8e+07,8844,0,2
1193,24.1736,15.7634,3.44837,1.37022e+37,37.1368,170,3,2746,24.1732,15.7633,1.61359,8e+06,2237,0.28,4
1193,24.1736,15.7634,3.44837,1.37022e+37,37.1368,170,3,2747,24.173,15.7633,2.16219,2e+08,26400,0.04,1
