h2_ID,n_clusters,matched_cluster_IDs,logLHa,LHa_erg_s,logQH0_2.3pct,logQH0_15.9pct,logQH0_median,logQH0_84.1pct,logQH0_97.7pct,logQH0_1sigma_width,fesc_15.9pct,fesc_median,fesc_84.1pct,fesc_median_recomputed,log_clusterMass_median_Msun,passes_QH0_cut
2307,1,1204,37.7819,6.05243e+37,49.5376,49.8355,50.0526,50.2338,50.3918,0.39825,0.353896,0.608033,0.741743,0.608033,3.7748,1
2313,1,1157,37.0903,1.23101e+37,40.1839,41.1272,42.4725,46.5057,48.7833,5.37846,-6.71401e+07,-3.03155e+06,-279.884,-3.03155e+06,4.1951,0
2316,1,1161,37.6114,4.0872e+37,45.7853,48.9863,49.309,49.4719,49.6142,0.485615,-2.08382,-0.466784,-0.00803159,-0.466784,2.94818,1
2342,1,1181,37.5982,3.96493e+37,47.2882,48.4426,49.181,49.4529,49.6204,1.01034,-9.46022,-0.910442,-0.021421,-0.910442,3.25501,0
2351,3,1093;1099;1100,38.0215,1.05084e+38,47.1331,48.7247,49.5888,49.8035,49.9693,1.07872,-13.4781,-0.979956,-0.20778,-0.979956,3.90475,0
2360,1,1102,37.5461,3.51663e+37,47.9693,48.8169,49.3577,49.6685,49.8546,0.851652,-2.91896,-0.128009,0.448534,-0.128009,3.42729,0
2365,1,1080,38.0293,1.06978e+38,47.2927,47.9235,48.7244,49.2484,49.4824,1.32494,-92.2621,-13.7521,-3.41334,-13.7521,3.30989,0
2399,1,1104,38.187,1.53825e+38,46.174,49.054,49.6417,49.8778,50.0336,0.82385,-8.93081,-1.56602,-0.489822,-1.56602,3.48398,0
2403,2,1056;1057,37.8258,6.69606e+37,49.5029,49.7839,49.9563,50.0769,50.1805,0.293018,0.19497,0.458713,0.589991,0.458713,3.61739,1
2418,1,1041,38.0123,1.02876e+38,45.9754,49.1098,49.6925,49.9007,50.0536,0.79089,-4.83998,-0.526682,0.0548047,-0.526682,3.47614,0
2430,1,1023,37.2003,1.58594e+37,45.3915,45.7324,46.2531,49.3228,49.4924,3.59031,-2145.63,-646.365,0.448619,-646.365,3.15433,0
2476,1,3084,38.2474,1.76763e+38,48.1108,50.3549,50.5108,50.6386,50.7607,0.283751,0.429236,0.601386,0.703035,0.601386,3.86177,1
2487,1,1008,37.799,6.29486e+37,45.7857,46.9581,47.5939,49.8512,50.0136,2.89308,-505.771,-116.234,0.351759,-116.234,3.52476,0
2490,2,977;1001,37.2092,1.61872e+37,46.25,46.6008,46.9546,47.3112,49.4672,0.710404,-295.686,-130.364,-56.7955,-130.364,3.67812,0
2538,4,922;926;927;928,38.4212,2.63766e+38,49.8243,50.0529,50.2303,50.5312,50.712,0.478292,-0.706992,-0.134629,0.432535,-0.134629,4.27275,1
2544,2,886;887,37.8578,7.20737e+37,48.5077,49.2978,49.6718,49.8825,50.0259,0.58468,-1.6538,-0.121851,0.30946,-0.121851,3.7208,0
2550,2,855;856,37.6955,4.96005e+37,48.3796,48.8828,49.2775,49.5148,49.6872,0.631917,-3.74849,-0.914023,-0.108253,-0.914023,3.55377,0
2610,2,763;770,37.7185,5.22947e+37,46.7604,46.9274,47.0925,47.2688,47.4825,0.34144,-450.862,-307.927,-204.857,-307.927,4.01601,1
2612,3,777;779;809,37.5861,3.85554e+37,49.2049,49.5977,49.8641,50.0427,50.1771,0.444983,0.288303,0.614646,0.744547,0.614646,3.89908,1
2651,3,708;722;733,38.0419,1.10139e+38,49.0429,49.6437,49.9138,50.0946,50.2547,0.450935,-0.828701,0.0180121,0.352548,0.0180121,3.86627,1
2715,2,613;614,37.3557,2.2683e+37,48.6837,49.1915,49.5092,49.7145,49.8608,0.522977,-0.0668198,0.486689,0.680026,0.486689,3.63399,0
2727,5,591;602;606;609;620,38.1443,1.39411e+38,49.5261,49.7743,49.9379,50.0596,50.1603,0.285354,-0.713663,-0.175784,0.111675,-0.175784,4.03462,1
2754,4,565;566;574;579,38.7083,5.10823e+38,49.3166,49.6811,49.9138,50.0892,50.2532,0.408098,-6.78236,-3.55441,-2.04098,-3.55441,4.53098,1
2845,5,463;464;466;467;468,38.3609,2.29541e+38,49.5772,49.9554,50.1564,50.28,50.3843,0.324638,-0.859404,-0.170403,0.119488,-0.170403,4.0954,1
2847,2,472;473,37.4041,2.53592e+37,48.4221,49.0198,49.3378,49.5358,49.677,0.516058,-0.771345,0.148351,0.460185,0.148351,3.44199,0
2882,3,433;434;435,38.6299,4.26483e+38,50.2038,50.4022,50.5388,50.6473,50.742,0.245114,-0.234939,0.0983263,0.297685,0.0983263,4.20937,1
2892,1,419,37.2473,1.76708e+37,39.0474,40.8623,42.2248,44.7158,46.4842,3.85348,-1.77355e+08,-7.69853e+06,-24851.3,-7.69853e+06,4.07677,0
2945,1,379,37.4887,3.08129e+37,41.1348,42.835,44.7167,46.5795,49.7638,3.74449,-3.29351e+06,-43241.2,-592.153,-43241.2,3.94634,0
2946,3,375;382;383,37.5345,3.42341e+37,46.9038,47.4369,48.0137,50.2748,50.5168,2.83786,-90.5125,-23.2499,0.867071,-23.2499,4.53336,0
3003,3,283;296;297,37.8592,7.23087e+37,49.2285,49.5544,49.7491,49.8882,50.0016,0.333708,-0.474563,0.0580064,0.316159,0.0580064,3.884,1
3066,3,219;220;222,37.3004,1.99722e+37,46.0469,46.4005,46.9013,49.6277,49.8747,3.22715,-579.488,-182.239,0.655935,-182.239,4.34378,0
3112,5,158;163;171;172;173,38.4003,2.51347e+38,49.0506,49.4913,49.7657,50.1745,50.428,0.683197,-4.92719,-2.15149,-0.229282,-2.15149,4.52811,0
